event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUL130530,"Target Price: $63,099.89",2026-07-13 05:15:00-04:00,2026-07-13 05:30:00-04:00,63049.34,63099.89,no
KXBTC15M-26JUL130515,"Target Price: $63,145.25",2026-07-13 05:00:00-04:00,2026-07-13 05:15:00-04:00,63099.89,63145.25,no
KXBTC15M-26JUL130500,"Target Price: $63,053.80",2026-07-13 04:45:00-04:00,2026-07-13 05:00:00-04:00,63145.25,63053.8,yes
KXBTC15M-26JUL130445,"Target Price: $63,026.05",2026-07-13 04:30:00-04:00,2026-07-13 04:45:00-04:00,63053.80,63026.05,yes
KXBTC15M-26JUL130430,"Target Price: $62,982.09",2026-07-13 04:15:00-04:00,2026-07-13 04:30:00-04:00,63026.05,62982.09,yes
KXBTC15M-26JUL130415,"Target Price: $62,959.91",2026-07-13 04:00:00-04:00,2026-07-13 04:15:00-04:00,62982.09,62959.91,yes
KXBTC15M-26JUL130400,"Target Price: $62,937.94",2026-07-13 03:45:00-04:00,2026-07-13 04:00:00-04:00,62959.91,62937.94,yes
KXBTC15M-26JUL130345,"Target Price: $62,926.76",2026-07-13 03:30:00-04:00,2026-07-13 03:45:00-04:00,62937.94,62926.76,yes
KXBTC15M-26JUL130330,"Target Price: $62,816.00",2026-07-13 03:15:00-04:00,2026-07-13 03:30:00-04:00,62926.76,62816.0,yes
KXBTC15M-26JUL130315,"Target Price: $62,753.33",2026-07-13 03:00:00-04:00,2026-07-13 03:15:00-04:00,62816.00,62753.33,yes
KXBTC15M-26JUL130300,"Target Price: $62,794.02",2026-07-13 02:45:00-04:00,2026-07-13 03:00:00-04:00,62753.33,62794.02,no
KXBTC15M-26JUL130245,"Target Price: $62,784.65",2026-07-13 02:30:00-04:00,2026-07-13 02:45:00-04:00,62794.02,62784.65,yes
KXBTC15M-26JUL130230,"Target Price: $62,700.22",2026-07-13 02:15:00-04:00,2026-07-13 02:30:00-04:00,62784.65,62700.22,yes
KXBTC15M-26JUL130215,"Target Price: $62,736.25",2026-07-13 02:00:00-04:00,2026-07-13 02:15:00-04:00,62700.22,62736.25,no
KXBTC15M-26JUL130200,"Target Price: $62,758.18",2026-07-13 01:45:00-04:00,2026-07-13 02:00:00-04:00,62736.25,62758.18,no
KXBTC15M-26JUL130145,"Target Price: $62,593.55",2026-07-13 01:30:00-04:00,2026-07-13 01:45:00-04:00,62758.18,62593.55,yes
KXBTC15M-26JUL130130,"Target Price: $62,782.18",2026-07-13 01:15:00-04:00,2026-07-13 01:30:00-04:00,62593.55,62782.18,no
KXBTC15M-26JUL130115,"Target Price: $62,654.78",2026-07-13 01:00:00-04:00,2026-07-13 01:15:00-04:00,62782.18,62654.78,yes
KXBTC15M-26JUL130100,"Target Price: $62,681.02",2026-07-13 00:45:00-04:00,2026-07-13 01:00:00-04:00,62654.78,62681.02,no
KXBTC15M-26JUL130045,"Target Price: $62,830.31",2026-07-13 00:30:00-04:00,2026-07-13 00:45:00-04:00,62681.02,62830.31,no
KXBTC15M-26JUL130030,"Target Price: $62,771.37",2026-07-13 00:15:00-04:00,2026-07-13 00:30:00-04:00,62830.31,62771.37,yes
KXBTC15M-26JUL130015,"Target Price: $62,773.51",2026-07-13 00:00:00-04:00,2026-07-13 00:15:00-04:00,62771.37,62773.51,no
KXBTC15M-26JUL130000,"Target Price: $62,784.78",2026-07-12 23:45:00-04:00,2026-07-13 00:00:00-04:00,62773.51,62784.78,no
KXBTC15M-26JUL122345,"Target Price: $63,030.46",2026-07-12 23:30:00-04:00,2026-07-12 23:45:00-04:00,62784.78,63030.46,no
KXBTC15M-26JUL122330,"Target Price: $62,974.44",2026-07-12 23:15:00-04:00,2026-07-12 23:30:00-04:00,63030.46,62974.44,yes
KXBTC15M-26JUL122315,"Target Price: $63,332.95",2026-07-12 23:00:00-04:00,2026-07-12 23:15:00-04:00,62974.44,63332.95,no
KXBTC15M-26JUL122300,"Target Price: $63,429.78",2026-07-12 22:45:00-04:00,2026-07-12 23:00:00-04:00,63332.95,63429.78,no
KXBTC15M-26JUL122245,"Target Price: $63,449.11",2026-07-12 22:30:00-04:00,2026-07-12 22:45:00-04:00,63429.78,63449.11,no
KXBTC15M-26JUL122230,"Target Price: $63,389.84",2026-07-12 22:15:00-04:00,2026-07-12 22:30:00-04:00,63449.11,63389.84,yes
KXBTC15M-26JUL122215,"Target Price: $63,391.66",2026-07-12 22:00:00-04:00,2026-07-12 22:15:00-04:00,63389.84,63391.66,no
KXBTC15M-26JUL122200,"Target Price: $63,664.03",2026-07-12 21:45:00-04:00,2026-07-12 22:00:00-04:00,63391.66,63664.03,no
KXBTC15M-26JUL122145,"Target Price: $63,687.67",2026-07-12 21:30:00-04:00,2026-07-12 21:45:00-04:00,63664.03,63687.67,no
KXBTC15M-26JUL122130,"Target Price: $63,832.30",2026-07-12 21:15:00-04:00,2026-07-12 21:30:00-04:00,63687.67,63832.3,no
KXBTC15M-26JUL122115,"Target Price: $64,029.33",2026-07-12 21:00:00-04:00,2026-07-12 21:15:00-04:00,63832.30,64029.33,no
KXBTC15M-26JUL122100,"Target Price: $63,748.56",2026-07-12 20:45:00-04:00,2026-07-12 21:00:00-04:00,64029.33,63748.56,yes
KXBTC15M-26JUL122045,"Target Price: $64,145.57",2026-07-12 20:30:00-04:00,2026-07-12 20:45:00-04:00,63748.56,64145.57,no
KXBTC15M-26JUL122030,"Target Price: $64,242.32",2026-07-12 20:15:00-04:00,2026-07-12 20:30:00-04:00,64145.57,64242.32,no
KXBTC15M-26JUL122015,"Target Price: $63,750.65",2026-07-12 20:00:00-04:00,2026-07-12 20:15:00-04:00,64242.32,63750.65,yes
KXBTC15M-26JUL122000,"Target Price: $63,774.20",2026-07-12 19:45:00-04:00,2026-07-12 20:00:00-04:00,63750.65,63774.2,no
KXBTC15M-26JUL121945,"Target Price: $63,801.40",2026-07-12 19:30:00-04:00,2026-07-12 19:45:00-04:00,63774.20,63801.4,no
KXBTC15M-26JUL121930,"Target Price: $63,791.02",2026-07-12 19:15:00-04:00,2026-07-12 19:30:00-04:00,63801.40,63791.02,yes
KXBTC15M-26JUL121915,"Target Price: $63,857.69",2026-07-12 19:00:00-04:00,2026-07-12 19:15:00-04:00,63791.02,63857.69,no
KXBTC15M-26JUL121900,"Target Price: $63,759.01",2026-07-12 18:45:00-04:00,2026-07-12 19:00:00-04:00,63857.69,63759.01,yes
KXBTC15M-26JUL121845,"Target Price: $63,786.95",2026-07-12 18:30:00-04:00,2026-07-12 18:45:00-04:00,63759.01,63786.95,no
KXBTC15M-26JUL121830,"Target Price: $63,773.92",2026-07-12 18:15:00-04:00,2026-07-12 18:30:00-04:00,63786.95,63773.92,yes
KXBTC15M-26JUL121815,"Target Price: $63,905.71",2026-07-12 18:00:00-04:00,2026-07-12 18:15:00-04:00,63773.92,63905.71,no
KXBTC15M-26JUL121800,"Target Price: $64,010.75",2026-07-12 17:45:00-04:00,2026-07-12 18:00:00-04:00,63905.71,64010.75,no
KXBTC15M-26JUL121745,"Target Price: $64,076.90",2026-07-12 17:30:00-04:00,2026-07-12 17:45:00-04:00,64010.75,64076.9,no
KXBTC15M-26JUL121730,"Target Price: $64,173.52",2026-07-12 17:15:00-04:00,2026-07-12 17:30:00-04:00,64076.90,64173.52,no
KXBTC15M-26JUL121715,"Target Price: $64,167.78",2026-07-12 17:00:00-04:00,2026-07-12 17:15:00-04:00,64173.52,64167.78,yes
KXBTC15M-26JUL121700,"Target Price: $64,183.27",2026-07-12 16:45:00-04:00,2026-07-12 17:00:00-04:00,64167.78,64183.27,no
KXBTC15M-26JUL121645,"Target Price: $64,167.19",2026-07-12 16:30:00-04:00,2026-07-12 16:45:00-04:00,64183.27,64167.19,yes
KXBTC15M-26JUL121630,"Target Price: $64,161.68",2026-07-12 16:15:00-04:00,2026-07-12 16:30:00-04:00,64167.19,64161.68,yes
KXBTC15M-26JUL121615,"Target Price: $64,195.60",2026-07-12 16:00:00-04:00,2026-07-12 16:15:00-04:00,64161.68,64195.6,no
KXBTC15M-26JUL121600,"Target Price: $64,124.87",2026-07-12 15:45:00-04:00,2026-07-12 16:00:00-04:00,64195.60,64124.87,yes
KXBTC15M-26JUL121545,"Target Price: $64,169.83",2026-07-12 15:30:00-04:00,2026-07-12 15:45:00-04:00,64124.87,64169.83,no
KXBTC15M-26JUL121530,"Target Price: $64,149.93",2026-07-12 15:15:00-04:00,2026-07-12 15:30:00-04:00,64169.83,64149.93,yes
KXBTC15M-26JUL121515,"Target Price: $64,112.35",2026-07-12 15:00:00-04:00,2026-07-12 15:15:00-04:00,64149.93,64112.35,yes
KXBTC15M-26JUL121500,"Target Price: $64,083.54",2026-07-12 14:45:00-04:00,2026-07-12 15:00:00-04:00,64112.35,64083.54,yes
KXBTC15M-26JUL121445,"Target Price: $64,041.54",2026-07-12 14:30:00-04:00,2026-07-12 14:45:00-04:00,64083.54,64041.54,yes
KXBTC15M-26JUL121430,"Target Price: $64,006.28",2026-07-12 14:15:00-04:00,2026-07-12 14:30:00-04:00,64041.54,64006.28,yes
KXBTC15M-26JUL121415,"Target Price: $64,042.60",2026-07-12 14:00:00-04:00,2026-07-12 14:15:00-04:00,64006.28,64042.6,no
KXBTC15M-26JUL121400,"Target Price: $64,121.90",2026-07-12 13:45:00-04:00,2026-07-12 14:00:00-04:00,64042.60,64121.9,no
KXBTC15M-26JUL121345,"Target Price: $64,094.85",2026-07-12 13:30:00-04:00,2026-07-12 13:45:00-04:00,64121.90,64094.85,yes
KXBTC15M-26JUL121330,"Target Price: $64,106.49",2026-07-12 13:15:00-04:00,2026-07-12 13:30:00-04:00,64094.85,64106.49,no
KXBTC15M-26JUL121315,"Target Price: $64,134.64",2026-07-12 13:00:00-04:00,2026-07-12 13:15:00-04:00,64106.49,64134.64,no
KXBTC15M-26JUL121300,"Target Price: $64,083.73",2026-07-12 12:45:00-04:00,2026-07-12 13:00:00-04:00,64134.64,64083.73,yes
KXBTC15M-26JUL121245,"Target Price: $64,140.94",2026-07-12 12:30:00-04:00,2026-07-12 12:45:00-04:00,64083.73,64140.94,no
KXBTC15M-26JUL121230,"Target Price: $64,028.85",2026-07-12 12:15:00-04:00,2026-07-12 12:30:00-04:00,64140.94,64028.85,yes
KXBTC15M-26JUL121215,"Target Price: $64,139.29",2026-07-12 12:00:00-04:00,2026-07-12 12:15:00-04:00,64028.85,64139.29,no
KXBTC15M-26JUL121200,"Target Price: $64,120.24",2026-07-12 11:45:00-04:00,2026-07-12 12:00:00-04:00,64139.29,64120.24,yes
KXBTC15M-26JUL121145,"Target Price: $64,178.54",2026-07-12 11:30:00-04:00,2026-07-12 11:45:00-04:00,64120.24,64178.54,no
KXBTC15M-26JUL121130,"Target Price: $64,155.74",2026-07-12 11:15:00-04:00,2026-07-12 11:30:00-04:00,64178.54,64155.74,yes
KXBTC15M-26JUL121115,"Target Price: $64,175.42",2026-07-12 11:00:00-04:00,2026-07-12 11:15:00-04:00,64155.74,64175.42,no
KXBTC15M-26JUL121100,"Target Price: $64,037.08",2026-07-12 10:45:00-04:00,2026-07-12 11:00:00-04:00,64175.42,64037.08,yes
KXBTC15M-26JUL121045,"Target Price: $63,960.63",2026-07-12 10:30:00-04:00,2026-07-12 10:45:00-04:00,64037.08,63960.63,yes
KXBTC15M-26JUL121030,"Target Price: $63,954.06",2026-07-12 10:15:00-04:00,2026-07-12 10:30:00-04:00,63960.63,63954.06,yes
KXBTC15M-26JUL121015,"Target Price: $63,989.00",2026-07-12 10:00:00-04:00,2026-07-12 10:15:00-04:00,63954.06,63989.0,no
KXBTC15M-26JUL121000,"Target Price: $64,008.06",2026-07-12 09:45:00-04:00,2026-07-12 10:00:00-04:00,63989.00,64008.06,no
KXBTC15M-26JUL120945,"Target Price: $64,011.38",2026-07-12 09:30:00-04:00,2026-07-12 09:45:00-04:00,64008.06,64011.38,no
KXBTC15M-26JUL120930,"Target Price: $64,004.20",2026-07-12 09:15:00-04:00,2026-07-12 09:30:00-04:00,64011.38,64004.2,yes
KXBTC15M-26JUL120915,"Target Price: $63,994.24",2026-07-12 09:00:00-04:00,2026-07-12 09:15:00-04:00,64004.20,63994.24,yes
KXBTC15M-26JUL120900,"Target Price: $63,990.99",2026-07-12 08:45:00-04:00,2026-07-12 09:00:00-04:00,63994.24,63990.99,yes
KXBTC15M-26JUL120845,"Target Price: $64,018.94",2026-07-12 08:30:00-04:00,2026-07-12 08:45:00-04:00,63990.99,64018.94,no
KXBTC15M-26JUL120830,"Target Price: $64,060.77",2026-07-12 08:15:00-04:00,2026-07-12 08:30:00-04:00,64018.94,64060.77,no
KXBTC15M-26JUL120815,"Target Price: $63,980.42",2026-07-12 08:00:00-04:00,2026-07-12 08:15:00-04:00,64060.77,63980.42,yes
KXBTC15M-26JUL120800,"Target Price: $63,958.50",2026-07-12 07:45:00-04:00,2026-07-12 08:00:00-04:00,63980.42,63958.5,yes
KXBTC15M-26JUL120745,"Target Price: $63,868.36",2026-07-12 07:30:00-04:00,2026-07-12 07:45:00-04:00,63958.50,63868.36,yes
KXBTC15M-26JUL120730,"Target Price: $63,814.19",2026-07-12 07:15:00-04:00,2026-07-12 07:30:00-04:00,63868.36,63814.19,yes
KXBTC15M-26JUL120715,"Target Price: $63,838.93",2026-07-12 07:00:00-04:00,2026-07-12 07:15:00-04:00,63814.19,63838.93,no
KXBTC15M-26JUL120700,"Target Price: $63,820.01",2026-07-12 06:45:00-04:00,2026-07-12 07:00:00-04:00,63838.93,63820.01,yes
KXBTC15M-26JUL120645,"Target Price: $63,850.63",2026-07-12 06:30:00-04:00,2026-07-12 06:45:00-04:00,63820.01,63850.63,no
KXBTC15M-26JUL120630,"Target Price: $63,885.37",2026-07-12 06:15:00-04:00,2026-07-12 06:30:00-04:00,63850.63,63885.37,no
KXBTC15M-26JUL120615,"Target Price: $63,925.41",2026-07-12 06:00:00-04:00,2026-07-12 06:15:00-04:00,63885.37,63925.41,no
KXBTC15M-26JUL120600,"Target Price: $63,971.14",2026-07-12 05:45:00-04:00,2026-07-12 06:00:00-04:00,63925.41,63971.14,no
KXBTC15M-26JUL120545,"Target Price: $63,791.97",2026-07-12 05:30:00-04:00,2026-07-12 05:45:00-04:00,63971.14,63791.97,yes
KXBTC15M-26JUL120530,"Target Price: $63,859.88",2026-07-12 05:15:00-04:00,2026-07-12 05:30:00-04:00,63791.97,63859.88,no
KXBTC15M-26JUL120515,"Target Price: $63,945.15",2026-07-12 05:00:00-04:00,2026-07-12 05:15:00-04:00,63859.88,63945.15,no
KXBTC15M-26JUL120500,"Target Price: $63,970.33",2026-07-12 04:45:00-04:00,2026-07-12 05:00:00-04:00,63945.15,63970.33,no
KXBTC15M-26JUL120445,"Target Price: $63,959.20",2026-07-12 04:30:00-04:00,2026-07-12 04:45:00-04:00,63970.33,63959.2,yes
KXBTC15M-26JUL120430,"Target Price: $64,008.31",2026-07-12 04:15:00-04:00,2026-07-12 04:30:00-04:00,63959.20,64008.31,no
KXBTC15M-26JUL120415,"Target Price: $63,846.77",2026-07-12 04:00:00-04:00,2026-07-12 04:15:00-04:00,64008.31,63846.77,yes
KXBTC15M-26JUL120400,"Target Price: $63,822.84",2026-07-12 03:45:00-04:00,2026-07-12 04:00:00-04:00,63846.77,63822.84,yes
KXBTC15M-26JUL120345,"Target Price: $63,819.71",2026-07-12 03:30:00-04:00,2026-07-12 03:45:00-04:00,63822.84,63819.71,yes
KXBTC15M-26JUL120330,"Target Price: $63,766.74",2026-07-12 03:15:00-04:00,2026-07-12 03:30:00-04:00,63819.71,63766.74,yes
KXBTC15M-26JUL120315,"Target Price: $63,723.48",2026-07-12 03:00:00-04:00,2026-07-12 03:15:00-04:00,63766.74,63723.48,yes
KXBTC15M-26JUL120300,"Target Price: $63,736.75",2026-07-12 02:45:00-04:00,2026-07-12 03:00:00-04:00,63723.48,63736.75,no
KXBTC15M-26JUL120245,"Target Price: $63,624.18",2026-07-12 02:30:00-04:00,2026-07-12 02:45:00-04:00,63736.75,63624.18,yes
KXBTC15M-26JUL120230,"Target Price: $63,721.46",2026-07-12 02:15:00-04:00,2026-07-12 02:30:00-04:00,63624.18,63721.46,no
KXBTC15M-26JUL120215,"Target Price: $63,945.83",2026-07-12 02:00:00-04:00,2026-07-12 02:15:00-04:00,63721.46,63945.83,no
KXBTC15M-26JUL120200,"Target Price: $63,938.80",2026-07-12 01:45:00-04:00,2026-07-12 02:00:00-04:00,63945.83,63938.8,yes
KXBTC15M-26JUL120145,"Target Price: $63,881.76",2026-07-12 01:30:00-04:00,2026-07-12 01:45:00-04:00,63938.80,63881.76,yes
KXBTC15M-26JUL120130,"Target Price: $63,957.80",2026-07-12 01:15:00-04:00,2026-07-12 01:30:00-04:00,63881.76,63957.8,no
KXBTC15M-26JUL120115,"Target Price: $63,950.90",2026-07-12 01:00:00-04:00,2026-07-12 01:15:00-04:00,63957.80,63950.9,yes
KXBTC15M-26JUL120100,"Target Price: $63,993.29",2026-07-12 00:45:00-04:00,2026-07-12 01:00:00-04:00,63950.90,63993.29,no
KXBTC15M-26JUL120045,"Target Price: $64,046.97",2026-07-12 00:30:00-04:00,2026-07-12 00:45:00-04:00,63993.29,64046.97,no
KXBTC15M-26JUL120030,"Target Price: $64,145.83",2026-07-12 00:15:00-04:00,2026-07-12 00:30:00-04:00,64046.97,64145.83,no
KXBTC15M-26JUL120015,"Target Price: $64,151.71",2026-07-12 00:00:00-04:00,2026-07-12 00:15:00-04:00,64145.83,64151.71,no
KXBTC15M-26JUL120000,"Target Price: $64,135.43",2026-07-11 23:45:00-04:00,2026-07-12 00:00:00-04:00,64151.71,64135.43,yes
KXBTC15M-26JUL112345,"Target Price: $64,091.28",2026-07-11 23:30:00-04:00,2026-07-11 23:45:00-04:00,64135.43,64091.28,yes
KXBTC15M-26JUL112330,"Target Price: $64,080.02",2026-07-11 23:15:00-04:00,2026-07-11 23:30:00-04:00,64091.28,64080.02,yes
KXBTC15M-26JUL112315,"Target Price: $64,051.96",2026-07-11 23:00:00-04:00,2026-07-11 23:15:00-04:00,64080.02,64051.96,yes
KXBTC15M-26JUL112300,"Target Price: $64,044.46",2026-07-11 22:45:00-04:00,2026-07-11 23:00:00-04:00,64051.96,64044.46,yes
KXBTC15M-26JUL112245,"Target Price: $64,074.23",2026-07-11 22:30:00-04:00,2026-07-11 22:45:00-04:00,64044.46,64074.23,no
KXBTC15M-26JUL112230,"Target Price: $64,014.44",2026-07-11 22:15:00-04:00,2026-07-11 22:30:00-04:00,64074.23,64014.44,yes
KXBTC15M-26JUL112215,"Target Price: $64,093.25",2026-07-11 22:00:00-04:00,2026-07-11 22:15:00-04:00,64014.44,64093.25,no
KXBTC15M-26JUL112200,"Target Price: $64,123.18",2026-07-11 21:45:00-04:00,2026-07-11 22:00:00-04:00,64093.25,64123.18,no
KXBTC15M-26JUL112145,"Target Price: $63,911.98",2026-07-11 21:30:00-04:00,2026-07-11 21:45:00-04:00,64123.18,63911.98,yes
KXBTC15M-26JUL112130,"Target Price: $63,895.43",2026-07-11 21:15:00-04:00,2026-07-11 21:30:00-04:00,63911.98,63895.43,yes
KXBTC15M-26JUL112115,"Target Price: $63,795.03",2026-07-11 21:00:00-04:00,2026-07-11 21:15:00-04:00,63895.43,63795.03,yes
KXBTC15M-26JUL112100,"Target Price: $63,761.03",2026-07-11 20:45:00-04:00,2026-07-11 21:00:00-04:00,63795.03,63761.03,yes
KXBTC15M-26JUL112045,"Target Price: $63,828.91",2026-07-11 20:30:00-04:00,2026-07-11 20:45:00-04:00,63761.03,63828.91,no
KXBTC15M-26JUL112030,"Target Price: $63,807.25",2026-07-11 20:15:00-04:00,2026-07-11 20:30:00-04:00,63828.91,63807.25,yes
KXBTC15M-26JUL112015,"Target Price: $63,788.63",2026-07-11 20:00:00-04:00,2026-07-11 20:15:00-04:00,63807.25,63788.63,yes
KXBTC15M-26JUL112000,"Target Price: $63,914.08",2026-07-11 19:45:00-04:00,2026-07-11 20:00:00-04:00,63788.63,63914.08,no
KXBTC15M-26JUL111945,"Target Price: $63,891.66",2026-07-11 19:30:00-04:00,2026-07-11 19:45:00-04:00,63914.08,63891.66,yes
KXBTC15M-26JUL111930,"Target Price: $64,101.48",2026-07-11 19:15:00-04:00,2026-07-11 19:30:00-04:00,63891.66,64101.48,no
KXBTC15M-26JUL111915,"Target Price: $64,164.02",2026-07-11 19:00:00-04:00,2026-07-11 19:15:00-04:00,64101.48,64164.02,no
KXBTC15M-26JUL111900,"Target Price: $64,186.31",2026-07-11 18:45:00-04:00,2026-07-11 19:00:00-04:00,64164.02,64186.31,no
KXBTC15M-26JUL111845,"Target Price: $64,230.75",2026-07-11 18:30:00-04:00,2026-07-11 18:45:00-04:00,64186.31,64230.75,no
KXBTC15M-26JUL111830,"Target Price: $64,348.30",2026-07-11 18:15:00-04:00,2026-07-11 18:30:00-04:00,64230.75,64348.3,no
KXBTC15M-26JUL111815,"Target Price: $64,317.48",2026-07-11 18:00:00-04:00,2026-07-11 18:15:00-04:00,64348.30,64317.48,yes
KXBTC15M-26JUL111800,"Target Price: $64,310.58",2026-07-11 17:45:00-04:00,2026-07-11 18:00:00-04:00,64317.48,64310.58,yes
KXBTC15M-26JUL111745,"Target Price: $64,331.78",2026-07-11 17:30:00-04:00,2026-07-11 17:45:00-04:00,64310.58,64331.78,no
KXBTC15M-26JUL111730,"Target Price: $64,320.93",2026-07-11 17:15:00-04:00,2026-07-11 17:30:00-04:00,64331.78,64320.93,yes
KXBTC15M-26JUL111715,"Target Price: $64,347.01",2026-07-11 17:00:00-04:00,2026-07-11 17:15:00-04:00,64320.93,64347.01,no
KXBTC15M-26JUL111700,"Target Price: $64,370.58",2026-07-11 16:45:00-04:00,2026-07-11 17:00:00-04:00,64347.01,64370.58,no
KXBTC15M-26JUL111645,"Target Price: $64,314.86",2026-07-11 16:30:00-04:00,2026-07-11 16:45:00-04:00,64370.58,64314.86,yes
KXBTC15M-26JUL111630,"Target Price: $64,304.09",2026-07-11 16:15:00-04:00,2026-07-11 16:30:00-04:00,64314.86,64304.09,yes
KXBTC15M-26JUL111615,"Target Price: $64,247.34",2026-07-11 16:00:00-04:00,2026-07-11 16:15:00-04:00,64304.09,64247.34,yes
KXBTC15M-26JUL111600,"Target Price: $64,226.54",2026-07-11 15:45:00-04:00,2026-07-11 16:00:00-04:00,64247.34,64226.54,yes
KXBTC15M-26JUL111545,"Target Price: $64,198.23",2026-07-11 15:30:00-04:00,2026-07-11 15:45:00-04:00,64226.54,64198.23,yes
KXBTC15M-26JUL111530,"Target Price: $64,260.56",2026-07-11 15:15:00-04:00,2026-07-11 15:30:00-04:00,64198.23,64260.56,no
KXBTC15M-26JUL111515,"Target Price: $64,285.95",2026-07-11 15:00:00-04:00,2026-07-11 15:15:00-04:00,64260.56,64285.95,no
KXBTC15M-26JUL111500,"Target Price: $64,313.12",2026-07-11 14:45:00-04:00,2026-07-11 15:00:00-04:00,64285.95,64313.12,no
KXBTC15M-26JUL111445,"Target Price: $64,300.77",2026-07-11 14:30:00-04:00,2026-07-11 14:45:00-04:00,64313.12,64300.77,yes
KXBTC15M-26JUL111430,"Target Price: $64,287.56",2026-07-11 14:15:00-04:00,2026-07-11 14:30:00-04:00,64300.77,64287.56,yes
KXBTC15M-26JUL111415,"Target Price: $64,279.81",2026-07-11 14:00:00-04:00,2026-07-11 14:15:00-04:00,64287.56,64279.81,yes
KXBTC15M-26JUL111400,"Target Price: $64,318.13",2026-07-11 13:45:00-04:00,2026-07-11 14:00:00-04:00,64279.81,64318.13,no
KXBTC15M-26JUL111345,"Target Price: $64,256.01",2026-07-11 13:30:00-04:00,2026-07-11 13:45:00-04:00,64318.13,64256.01,yes
KXBTC15M-26JUL111330,"Target Price: $64,175.74",2026-07-11 13:15:00-04:00,2026-07-11 13:30:00-04:00,64256.01,64175.74,yes
KXBTC15M-26JUL111315,"Target Price: $64,137.48",2026-07-11 13:00:00-04:00,2026-07-11 13:15:00-04:00,64175.74,64137.48,yes
KXBTC15M-26JUL111300,"Target Price: $64,102.83",2026-07-11 12:45:00-04:00,2026-07-11 13:00:00-04:00,64137.48,64102.83,yes
KXBTC15M-26JUL111245,"Target Price: $64,170.71",2026-07-11 12:30:00-04:00,2026-07-11 12:45:00-04:00,64102.83,64170.71,no
KXBTC15M-26JUL111230,"Target Price: $64,133.79",2026-07-11 12:15:00-04:00,2026-07-11 12:30:00-04:00,64170.71,64133.79,yes
KXBTC15M-26JUL111215,"Target Price: $64,122.79",2026-07-11 12:00:00-04:00,2026-07-11 12:15:00-04:00,64133.79,64122.79,yes
KXBTC15M-26JUL111200,"Target Price: $64,070.04",2026-07-11 11:45:00-04:00,2026-07-11 12:00:00-04:00,64122.79,64070.04,yes
KXBTC15M-26JUL111145,"Target Price: $64,386.62",2026-07-11 11:30:00-04:00,2026-07-11 11:45:00-04:00,64070.04,64386.62,no
KXBTC15M-26JUL111130,"Target Price: $64,426.22",2026-07-11 11:15:00-04:00,2026-07-11 11:30:00-04:00,64386.62,64426.22,no
KXBTC15M-26JUL111115,"Target Price: $64,312.08",2026-07-11 11:00:00-04:00,2026-07-11 11:15:00-04:00,64426.22,64312.08,yes
KXBTC15M-26JUL111100,"Target Price: $64,374.25",2026-07-11 10:45:00-04:00,2026-07-11 11:00:00-04:00,64312.08,64374.25,no
KXBTC15M-26JUL111045,"Target Price: $64,339.61",2026-07-11 10:30:00-04:00,2026-07-11 10:45:00-04:00,64374.25,64339.61,yes
KXBTC15M-26JUL111030,"Target Price: $64,220.77",2026-07-11 10:15:00-04:00,2026-07-11 10:30:00-04:00,64339.61,64220.77,yes
KXBTC15M-26JUL111015,"Target Price: $64,198.14",2026-07-11 10:00:00-04:00,2026-07-11 10:15:00-04:00,64220.77,64198.14,yes
KXBTC15M-26JUL111000,"Target Price: $64,193.68",2026-07-11 09:45:00-04:00,2026-07-11 10:00:00-04:00,64198.14,64193.68,yes
KXBTC15M-26JUL110945,"Target Price: $64,162.44",2026-07-11 09:30:00-04:00,2026-07-11 09:45:00-04:00,64193.68,64162.44,yes
KXBTC15M-26JUL110930,"Target Price: $64,139.19",2026-07-11 09:15:00-04:00,2026-07-11 09:30:00-04:00,64162.44,64139.19,yes
KXBTC15M-26JUL110915,"Target Price: $64,140.33",2026-07-11 09:00:00-04:00,2026-07-11 09:15:00-04:00,64139.19,64140.33,no
KXBTC15M-26JUL110900,"Target Price: $64,098.37",2026-07-11 08:45:00-04:00,2026-07-11 09:00:00-04:00,64140.33,64098.37,yes
KXBTC15M-26JUL110845,"Target Price: $64,138.24",2026-07-11 08:30:00-04:00,2026-07-11 08:45:00-04:00,64098.37,64138.24,no
KXBTC15M-26JUL110830,"Target Price: $64,171.43",2026-07-11 08:15:00-04:00,2026-07-11 08:30:00-04:00,64138.24,64171.43,no
KXBTC15M-26JUL110815,"Target Price: $64,150.53",2026-07-11 08:00:00-04:00,2026-07-11 08:15:00-04:00,64171.43,64150.53,yes
KXBTC15M-26JUL110800,"Target Price: $64,136.56",2026-07-11 07:45:00-04:00,2026-07-11 08:00:00-04:00,64150.53,64136.56,yes
KXBTC15M-26JUL110745,"Target Price: $64,129.39",2026-07-11 07:30:00-04:00,2026-07-11 07:45:00-04:00,64136.56,64129.39,yes
